Usage,Image name,predominant_emotion_index
Training,fer0000001.png,0
Training,fer0000004.png,0
Training,fer0000005.png,0
Training,fer0000006.png,3
Training,fer0000008.png,1
Training,fer0000009.png,2
Training,fer0000010.png,4
Training,fer0000011.png,0
Training,fer0000012.png,0
Training,fer0000014.png,1
Training,fer0000015.png,2
Training,fer0000016.png,1
Training,fer0000018.png,3
Training,fer0000019.png,0
Training,fer0000022.png,4
Training,fer0000024.png,1
Training,fer0000025.png,1
Training,fer0000026.png,0
Training,fer0000027.png,4
Training,fer0000028.png,1
Training,fer0000029.png,2
Training,fer0000030.png,1
Training,fer0000033.png,0
Training,fer0000034.png,1
Training,fer0000037.png,0
Training,fer0000038.png,4
Training,fer0000039.png,1
Training,fer0000040.png,3
Training,fer0000041.png,1
Training,fer0000042.png,3
Training,fer0000043.png,4
Training,fer0000045.png,2
Training,fer0000047.png,0
Training,fer0000049.png,3
Training,fer0000052.png,2
Training,fer0000053.png,0
Training,fer0000054.png,3
Training,fer0000055.png,2
Training,fer0000056.png,0
Training,fer0000057.png,1
Training,fer0000059.png,0
Training,fer0000060.png,2
Training,fer0000062.png,3
Training,fer0000064.png,0
Training,fer0000066.png,1
Training,fer0000067.png,4
Training,fer0000069.png,3
Training,fer0000071.png,3
Training,fer0000075.png,4
Training,fer0000077.png,2
Training,fer0000079.png,1
Training,fer0000080.png,2
Training,fer0000082.png,0
Training,fer0000083.png,3
Training,fer0000085.png,3
Training,fer0000086.png,1
Training,fer0000087.png,2
Training,fer0000089.png,1
Training,fer0000092.png,1
Training,fer0000094.png,0
Training,fer0000100.png,0
Training,fer0000104.png,1
Training,fer0000106.png,4
Training,fer0000107.png,2
Training,fer0000108.png,1
Training,fer0000109.png,3
Training,fer0000114.png,3
Training,fer0000116.png,4
Training,fer0000119.png,4
Training,fer0000120.png,3
Training,fer0000126.png,0
Training,fer0000127.png,2
Training,fer0000129.png,3
Training,fer0000130.png,3
Training,fer0000133.png,0
Training,fer0000134.png,0
Training,fer0000136.png,4
Training,fer0000138.png,1
Training,fer0000141.png,1
Training,fer0000142.png,1
Training,fer0000144.png,1
Training,fer0000145.png,0
Training,fer0000146.png,4
Training,fer0000148.png,2
Training,fer0000149.png,3
Training,fer0000150.png,4
Training,fer0000154.png,2
Training,fer0000155.png,1
Training,fer0000156.png,4
Training,fer0000157.png,0
Training,fer0000158.png,3
Training,fer0000159.png,2
Training,fer0000163.png,0
Training,fer0000164.png,1
Training,fer0000170.png,3
Training,fer0000172.png,0
Training,fer0000174.png,2
Training,fer0000175.png,2
Training,fer0000176.png,0
Training,fer0000177.png,2
Training,fer0000178.png,4
Training,fer0000180.png,2
Training,fer0000183.png,2
Training,fer0000185.png,4
Training,fer0000186.png,1
Training,fer0000187.png,0
Training,fer0000188.png,0
Training,fer0000190.png,2
Training,fer0000191.png,2
Training,fer0000192.png,2
Training,fer0000193.png,2
Training,fer0000198.png,2
Training,fer0000199.png,3
Training,fer0000200.png,3
Training,fer0000201.png,3
Training,fer0000203.png,3
Training,fer0000204.png,2
Training,fer0000207.png,2
Training,fer0000208.png,0
Training,fer0000211.png,3
Training,fer0000214.png,1
Training,fer0000215.png,1
Training,fer0000216.png,0
Training,fer0000217.png,1
Training,fer0000223.png,2
Training,fer0000224.png,4
Training,fer0000225.png,0
Training,fer0000226.png,2
Training,fer0000228.png,3
Training,fer0000229.png,2
Training,fer0000230.png,3
Training,fer0000232.png,4
Training,fer0000236.png,2
Training,fer0000237.png,3
Training,fer0000240.png,3
Training,fer0000241.png,4
Training,fer0000242.png,0
Training,fer0000243.png,2
Training,fer0000244.png,4
Training,fer0000246.png,1
Training,fer0000247.png,4
Training,fer0000249.png,0
Training,fer0000250.png,2
Training,fer0000251.png,2
Training,fer0000254.png,4
Training,fer0000255.png,2
Training,fer0000256.png,2
Training,fer0000257.png,4
Training,fer0000258.png,2
Training,fer0000259.png,2
Training,fer0000260.png,0
Training,fer0000263.png,3
Training,fer0000266.png,3
Training,fer0000268.png,2
Training,fer0000269.png,4
Training,fer0000272.png,0
Training,fer0000274.png,4
Training,fer0000275.png,2
Training,fer0000276.png,1
Training,fer0000278.png,2
Training,fer0000282.png,1
Training,fer0000283.png,1
Training,fer0000291.png,2
Training,fer0000293.png,4
Training,fer0000294.png,4
Training,fer0000296.png,3
Training,fer0000297.png,0
Training,fer0000300.png,0
Training,fer0000301.png,2
Training,fer0000302.png,1
Training,fer0000303.png,2
Training,fer0000304.png,3
Training,fer0000305.png,3
Training,fer0000306.png,4
Training,fer0000307.png,0
Training,fer0000312.png,3
Training,fer0000313.png,3
Training,fer0000314.png,1
Training,fer0000315.png,2
Training,fer0000317.png,3
Training,fer0000318.png,2
Training,fer0000320.png,3
